year,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Total,Estados Unidos,Canada,Paises Bajos,Aruba,Ecuador,Antillas Holandesas,Curazao,Panama,Japon,Mexico,Otros
2009,0,0,0.39,0,0,0,0.41,0,0,0,0,0,0.8,0.39,0,0,0,0,0,0,0.41,0,0,0
2010,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01
2011,0.04,0,0,0.01,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0
2012,0.02,0,10.81,0.04,0.75,0.08,0,0,0,0.16,0,0.33,12.19,1.97,8.66,1.37,0.16,0,0,0,0,0,0,0.03
2013,0,0.22,0,0.27,0.2,0.23,0.05,0,1.53,0,0.04,0.6,3.14,0.19,0,0.62,2.33,0,0,0,0,0,0,0
2014,0.24,1.32,0,0.01,0,0,0,0,0,0,0,0,1.57,0.92,0,0,0.53,0,0,0,0.12,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
